metric,correlation
nst_a_per_60_all_situations,0.2503999443417573
n_zone_fo_pct,0.2445087231481399
nst_p_per_60_all_situations,0.24196530034384064
ev_faceoff_pct,0.23979467122236617
nst_faceoffs_lost_all_situations,0.2375349048260886
fow_pct_all_situations,0.23344305437890142
d_zone_fo_pct,0.23263428749353635
nst_faceoffs_won_all_situations,0.23014805454753404
sh_shooting_pct,0.2111276034364929
nst_oi_mdgf_pct_all_neg,-0.18625411165933084
pp_g_per_60,0.1818268984164433
nst_oi_mdgf_pct_all,0.17380364573477688
plus_minus,0.16741770158498412
nst_oi_cf_pct_all_pos,0.13594479547384733
nst_oi_ff_pct_all_pos,0.13594342726190603
nst_oi_scf_pct_all_pos,0.13358164721135388
nst_oi_hdgf_pct_all_neg,-0.11969617859298155
nst_oi_sf_pct_all_pos,0.11546559690456118
nst_ipp_all,0.1084715100686451
nst_oi_gf_pct_all,0.10418879377622509
nst_oi_shooting_pct_all,0.10344446830722578
nst_oi_gf_pct_all_neg,-0.10200445207161273
nst_oi_hdgf_pct_all,0.09808055613932021
nst_oi_mdcf_pct_all_pos,0.0935736067939163
nst_oi_xgf_pct_all_pos,0.08509738879836218
nst_oi_mdgf_pct_all_pos,0.07107290558297391
nst_oi_gf_pct_all_pos,0.06807760386850767
nst_oi_hdcf_pct_all_pos,0.04465029461540507
nst_oi_scf_pct_all,0.04105624172342374
nst_oi_mdcf_pct_all,0.040985567778277096
nst_oi_off_zone_start_pct_all,0.03869900868229122
nst_oi_hdcf_pct_all,0.03694125982266779
nst_oi_xgf_pct_all,0.03492096454093836
nst_oi_hdcf_pct_all_neg,-0.03214644900270409
nst_oi_save_pct_all,-0.03160493996397629
nst_s_per_60_all_situations,-0.02876902308118056
nst_oi_mdcf_pct_all_neg,-0.02855931879242495
nst_oi_sf_pct_all,0.028047654088100248
nst_oi_ff_pct_all,0.027656055258471545
nst_oi_cf_pct_all,0.025310565638834173
nst_oi_scf_pct_all_neg,-0.024627974274843575
nst_oi_xgf_pct_all_neg,-0.02447485431528048
nst_g_per_60_all_situations,-0.02212723919171763
es_gf_pct_pos,-0.01795349881873523
nst_hdcf_per_60_all_situations,-0.017929303882951643
nst_oi_pdo_all,-0.01479492846781806
nst_oi_sf_pct_all_neg,-0.014550618406998013
nst_oi_ff_pct_all_neg,-0.011995644861759582
nst_iff_per_60_all_situations,-0.011378828176214559
nst_oi_cf_pct_all_neg,-0.00933124283617864
nst_icf_per_60_all_situations,-0.007726230072922948
nst_ixg_per_60_all_situations,0.0059882599731997145
nst_oi_hdgf_pct_all_pos,-0.0037633581115677213
sh_g_per_60,0.0036172844742890214
nst_iscfs_per_60_all_situations,-0.00015345377208347307
